"Id ICV";"Id situation";"Date de création";"Date de modification";"Date de début";"Date de fin";"Jours de diffusion";"Période de diffusion";"Titre";"Catégorie";"ICV récurrente";"Média";"Code CP";"Statut";"Priorité";"Type";"Motif Solférino";"Lignes";"ICV digital intitulé";"ICV digital message vers météo du trafic et push";"ICV digital message détaillé";"Texte de l’ICV gare et bord";"Axes";"Gares";"Codes mission";"Numéros de course"
"59e92f82-5b19-488f-8f09-44212be483e7";"N/A";"25/11/2024 03:50:21";"27/12/2024 10:57:12";"25/11/2024 03:50:21";"28/12/2024 03:00:00";"";"";"R-PSE SUD 0 25/11 AU 20 DEC";"Travaux";"Non";"Digital";"";"Echue";"N/A";"Pas de notification envoyée";"N/A";"R";"Ligne R Paris<>Montereau/Montargis - 27/12";"Entre Paris gare de Lyon et Melun : le vendredi 27 Décembre 2024.";"Période : En semaine.Date : Vendredi 27 Décembre 2024.​Vendredi 27 Décembre, aucun train ne circule entre Paris gare de Lyon surface et Montargis/ Montereau à partir de 22h50.Derniers trains au départ de Paris gare de Lyon surface en direction de Montereau et Montargis:- GAMO départ Paris gare de Lyon Surface à 22h16, arrivée Montargis à 23h55.- KUMO départ Paris gare de Lyon Surface à 22h46, arrivée Montereau à 23h44.Derniers trains au départ de Montereau et Montargis en direction de Paris gare de Lyon Surface:- POMA départ Montargis à 21h01, arrivée à Paris gare de Lyon Surface à 22h43.- PUMA départ Montereau à 22h14, arrivée à Paris gare de Lyon Surface à 23h13.Les horaires du calculateur d'itinéraire tiennent compte des travaux.Motif: travaux";"N/A";"";"";"";""
"bb7c9772-d967-4910-b605-183610138dca";"N/A";"28/03/2024 15:49:24";"07/11/2024 20:00:00";"08/09/2024 03:50:00";"07/11/2024 20:00:00";"";"";"Tx 08/09 au 20/12 soirée";"Travaux";"Non";"Gare";"";"Annulée";"2";"Bas de page";"N/A";"C";"N/A";"N/A";"N/A";"RER C : en soirée, des travaux impactent votre ligne. Retrouvez les informations sur l'appli Ile de France Mobilités, le site Transilien.com, SNCF Connect ou votre appli de mobilité.";"Brétigny <> Dourdan La Forêt, Brétigny <> Invalides, Invalides <> Saint-Martin d'Étampes, Juvisy <> Invalides, Massy-Palaiseau <> Invalides, Montigny - Beauchamp <> Invalides, Pontoise <> Invalides, St-Quentin-Yvelines <> Invalides, Versailles Chantiers <> Massy-Palaiseau, Versailles Château <> Invalides";"Arpajon, Brétigny, Breuillet - Bruyères-le-Châtel, Breuillet Village, Dourdan, Dourdan la Forêt, Égly, La Norville - Saint-Germain-lès-Arpajon, Sermaise, Saint-Chéron, Ablon, Athis-Mons, Bibliothèque François Mitterrand, Choisy-le-Roi, Épinay-sur-Orge, Invalides, Ivry-sur-Seine, Juvisy, Les Ardoines, Musée d'Orsay, Paris Austerlitz, Savigny-sur-Orge, Saint-Michel Notre-Dame, Saint-Michel-sur-Orge, Sainte-Geneviève-des-Bois, Villeneuve-le-Roi, Vitry-sur-Seine, Bouray, Chamarande, Étampes, Étréchy, Lardy, Marolles-en-Hurepoix, Saint-Martin d'Étampes, Chemin d'Antony, Les Saules, Massy - Verrières, Massy-Palaiseau, Orly Ville, Pont de Rungis Aéroport d'Orly, Rungis la Fraternelle, Avenue du Président Kennedy Maison de Radio France, Avenue Foch, Boulainvilliers, Cernay, Champ de Mars Tour Eiffel, Épinay-sur-Seine, Ermont - Eaubonne, Franconville - Le Plessis-Bouchard, Gennevilliers, Avenue Henri Martin, Les Grésillons, Montigny - Beauchamp, Péreire Levallois, Pont de l'Alma, Porte de Clichy, Neuilly - Porte Maillot, Saint-Gratien, Saint-Ouen, Pierrelaye, Pontoise, Saint-Ouen-l'Aumône, Saint-Ouen-l'Aumône Liesse, Chaville - Vélizy, Issy, Issy Val de Seine, Javel, Meudon Val Fleury, Pont du Garigliano - Hôpital Européen G. Pompidou, Saint-Cyr, Saint-Quentin en Yvelines - Montigny-le-Bretonneux, Versailles Chantiers, Viroflay Rive Gauche, Bièvres, Igny, Jouy-en-Josas, Petit Jouy Les Loges, Vauboyen, Porchefontaine, Versailles Château Rive Gauche";"";""
"10469f46-a610-4226-adb4-843227251626";"N/A";"03/04/2024 05:57:28";"08/11/2024 15:59:52";"03/04/2024 06:00:00";"08/11/2024 15:59:52";"";"";"Travaux ligne N";"Travaux";"Non";"Bord | multicanal";"";"Annulée";"2";"Texte";"N/A";"N";"N/A";"N/A";"N/A";"Ligne N : des travaux impactent votre ligne. Retrouvez toutes les informations sur l'appli Ile de France Mobilités, Transilien.com ou votre appli de mobilité.";"Paris Montparnasse <> Dreux, Paris Montparnasse <> Mantes-la-Jolie, Paris Montparnasse <> Rambouillet";"Tacoignières - Richebourg, Sèvres Rive Gauche, Montfort-l'Amaury - Méré, Plaisir - Les Clayes, Dreux, Clamart, Viroflay Rive Gauche, Plaisir - Grignon, Fontenay-le-Fleury, Saint-Cyr, Chaville Rive Gauche, Orgerus - Béhoust, Garancières - La Queue, Meudon, Paris Montparnasse, Villiers - Neauphle - Pontchartrain, Bellevue, Vanves - Malakoff, Marchezais - Broué, Villepreux - Les Clayes, Versailles Chantiers, Houdan, Beynes, Mantes-la-Jolie, Épône - Mézières, Nézel - Aulnay, Mareil-sur-Mauldre, Maule, Coignières, La Verrière, Saint-Quentin en Yvelines - Montigny-le-Bretonneux, Rambouillet, Trappes, Les Essarts-le-Roi, Le Perray";"";""
"10469f46-a610-4226-adb4-843227251626";"N/A";"03/04/2024 05:57:28";"08/11/2024 15:59:52";"03/04/2024 06:00:00";"08/11/2024 15:59:52";"";"";"Travaux ligne N";"Travaux";"Non";"Gare | multicanal";"";"Annulée";"2";"Bas de page";"N/A";"N";"N/A";"N/A";"N/A";"Ligne N : des travaux impactent votre ligne. Retrouvez toutes les informations sur l'appli Ile de France Mobilités, Transilien.com ou votre appli de mobilité.";"Paris Montparnasse <> Dreux, Paris Montparnasse <> Mantes-la-Jolie, Paris Montparnasse <> Rambouillet";"Villiers - Neauphle - Pontchartrain, Viroflay Rive Gauche, Fontenay-le-Fleury, Versailles Chantiers, Plaisir - Les Clayes, Villepreux - Les Clayes, Montfort-l'Amaury - Méré, Houdan, Saint-Cyr, Paris Montparnasse, Bellevue, Plaisir - Grignon, Orgerus - Béhoust, Vanves - Malakoff, Sèvres Rive Gauche, Dreux, Marchezais - Broué, Clamart, Garancières - La Queue, Chaville Rive Gauche, Meudon, Tacoignières - Richebourg, Épône - Mézières, Mantes-la-Jolie, Beynes, Maule, Nézel - Aulnay, Mareil-sur-Mauldre, La Verrière, Coignières, Trappes, Saint-Quentin en Yvelines - Montigny-le-Bretonneux, Les Essarts-le-Roi, Rambouillet, Le Perray";"";""
"ccc9e9ab-2ce7-4a24-8699-c5b899f3f905";"N/A";"03/04/2024 05:58:21";"08/11/2024 16:00:48";"03/04/2024 06:00:00";"08/11/2024 16:00:48";"";"";"Travaux Ligne U";"Travaux";"Non";"Bord | multicanal";"";"Annulée";"2";"Texte";"N/A";"U";"N/A";"N/A";"N/A";"Ligne U : des travaux impactent votre ligne. Retrouvez toutes les informations sur l'appli Ile de France Mobilités, Transilien.com ou votre appli de mobilité.";"La Défense <> La Verrière";"Versailles Chantiers, Saint-Cloud, Sèvres - Ville-d'Avray, Trappes, Suresnes Mont Valérien, Saint-Quentin en Yvelines - Montigny-le-Bretonneux, Saint-Cyr, Puteaux, Chaville Rive Droite, La Défense, La Verrière";"";""
"ccc9e9ab-2ce7-4a24-8699-c5b899f3f905";"N/A";"03/04/2024 05:58:21";"08/11/2024 16:00:48";"03/04/2024 06:00:00";"08/11/2024 16:00:48";"";"";"Travaux Ligne U";"Travaux";"Non";"Gare | multicanal";"";"Annulée";"2";"Bas de page";"N/A";"U";"N/A";"N/A";"N/A";"Ligne U : des travaux impactent votre ligne. Retrouvez toutes les informations sur l'appli Ile de France Mobilités, Transilien.com ou votre appli de mobilité.";"La Défense <> La Verrière";"Chaville Rive Droite, Puteaux, Saint-Cyr, Sèvres - Ville-d'Avray, La Verrière, Trappes, Versailles Chantiers, Suresnes Mont Valérien, Saint-Quentin en Yvelines - Montigny-le-Bretonneux, Saint-Cloud, La Défense";"";""
"4db94bbd-b0c7-4a93-81c7-07163ae4d7bd";"N/A";"04/08/2024 22:00:55";"04/08/2024 22:00:55";"27/09/2024 05:00:00";"08/11/2024 06:00:00";"";"";"S40 et 45 CLC 1er et 2 octobr";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P. Travaux axe Esbly - Crécy la Chapelle. Les 1er et 2 octobre et du 5 au 8 novembre, le train de 5h10 au départ de Crécy la Chapelle est supprimé. Bus mis en place à 5h00.";"Esbly <> Crécy-la-Chapelle";"Esbly, Montry - Condé, Couilly - Saint-Germain - Quincy, Villiers Montbarbin, Crécy-la-Chapelle";"";""
"0fa02fb4-24db-4df7-a00e-ade75977b269";"N/A";"09/09/2024 01:32:47";"09/09/2024 01:32:47";"30/10/2024 01:30:00";"06/11/2024 17:00:00";"";"";"S45 VSM 6/11";"Travaux";"Non";"Bord | multicanal";"";"Echue";"2";"Texte";"N/A";"E";"N/A";"N/A";"N/A";"RER E Le 06/11 entre Haussmann St L. et Villiers sur Marne certains trains seront au terminus et à l'origine de Nogent le Perreux. Motif: travaux de maintenance";"Haussmann Saint-Lazare <> Villiers-sur-Marne";"";"";""
"0fa02fb4-24db-4df7-a00e-ade75977b269";"N/A";"09/09/2024 01:32:47";"09/09/2024 01:32:47";"30/10/2024 01:30:00";"06/11/2024 17:00:00";"";"";"S45 VSM 6/11";"Travaux";"Non";"Gare | multicanal";"";"Echue";"2";"Bas de page";"N/A";"E";"N/A";"N/A";"N/A";"RER E Le 06/11 entre Haussmann St L. et Villiers sur Marne certains trains seront au terminus et à l'origine de Nogent le Perreux. Motif: travaux de maintenance";"Haussmann Saint-Lazare <> Villiers-sur-Marne";"Haussmann Saint-Lazare, Les Boullereaux Champigny, Magenta, Nogent - Le Perreux, Noisy-le-Sec, Pantin, Rosa Parks, Rosny - Bois-Perrier, Rosny-sous-Bois, Val de Fontenay, Villiers-sur-Marne - Le Plessis-Trévise";"";""
"41c6830e-e4ab-449f-a320-1c09959dcd11";"N/A";"20/09/2024 06:37:23";"05/11/2024 12:20:45";"30/10/2024 15:05:00";"05/11/2024 12:20:45";"";"";"TX K WE 1,2 et 3 novembre";"Travaux";"Non";"Gare";"";"Annulée";"2";"Bas de page";"N/A";"K";"N/A";"N/A";"N/A";"Travaux Ligne K : du vendredi 01 au dimanche 03 novembre, le trafic est interrompu entre Paris Nord et Mitry. Si vous ne pouvez pas reporter votre trajet, veuillez emprunter le RER B.";"Paris Gare du Nord <> Crépy-en-Valois";"Compans, Crépy-en-Valois, Dammartin - Juilly - Saint-Mard, Le Plessis-Belleville, Mitry - Claye, Nanteuil-le-Haudouin, Ormoy-Villers, Paris Gare du Nord, Thieux - Nantouillet, Aulnay-sous-Bois";"";""
"8c253478-d5a8-4030-90e8-7d39e2a5a9f1";"N/A";"23/09/2024 16:06:55";"23/09/2024 16:06:55";"02/11/2024 05:00:00";"18/11/2024 03:00:00";"";"";"TX L Normandes WE45-46 3L";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"J";"N/A";"N/A";"N/A";"Travaux : les weekends, le 09-10 et 16-17/11 toute la journée et le lundi 11/11 jusqu'à 16h, aucun train entre Paris St-Lazare et Val de Reuil. Renforcement lignes régulières 2A et 2B.";"Paris Saint-Lazare <> Vernon - Giverny";"Aubergenville Élisabethville, Bonnières, Épône - Mézières, Houilles - Carrières-sur-Seine, Les Clairières de Verneuil, Les Mureaux, Mantes-la-Jolie, Mantes-Station, Poissy, Rosny-sur-Seine, Vernon - Giverny, Vernouillet - Verneuil, Villennes-sur-Seine";"";""
"c67d8eed-66b3-45a7-83bf-a3a6775b88ee";"N/A";"25/09/2024 00:13:10";"25/09/2024 00:13:10";"18/10/2024 17:00:00";"04/11/2024 02:10:00";"";"";"WE43 à 44 MEA 26/10 au 03/11";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P Axe Paris Est-Meaux. Les week-ends du 26/10 au 03/11, toute la journée, la circulation est interrompue. Bus mis en place entre Meaux et Torcy, Meaux et Chelles  en journée.";"Paris Est <> Meaux";"Paris Est, Meaux";"";""
"557004a2-877d-449f-b374-ec9b3d9d5b91";"N/A";"25/09/2024 00:24:56";"25/09/2024 00:24:56";"28/10/2024 17:00:00";"12/11/2024 02:00:00";"";"";"WE44 et 46 MEA er 11 novembre";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P Axe Paris Est-Meaux. Les 1er et 11 novembre toute la journée, la circulation des trains est interrompue.Des bus circulent entre Meaux et Torcy et Meaux et Chelles en journée.";"Paris Est <> Meaux";"Chelles - Gournay, Esbly, Lagny - Thorigny, Meaux, Paris Est, Vaires - Torcy";"";""
"bb71a5dc-77e9-4086-beb1-2f1203a1795f";"N/A";"25/09/2024 00:32:50";"05/12/2024 07:13:02";"01/11/2024 17:00:00";"05/12/2024 07:13:02";"";"";"WE46.46.48 MEA 09/11 au 01/12";"Travaux";"Non";"Gare";"";"Annulée";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P Axe Paris Est-Meaux. Les week-ends du 09/11 au 01/12 toute la journée, la circulation est interrompue. Des bus circulent entre Meaux et Torcy et Meaux et Chelles en journée.";"Paris Est <> Meaux";"Chelles - Gournay, Esbly, Lagny - Thorigny, Meaux, Paris Est, Vaires - Torcy";"";""
"37e6c0ea-8ddf-4a48-be8c-adf9e7f18370";"N/A";"25/09/2024 00:43:36";"25/09/2024 00:57:35";"15/11/2024 17:00:00";"25/11/2024 02:00:00";"";"";"WE47 CTH 23 et 24/11";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P Axe Paris Est / Château Thierry. Le week-end du 23 et 24 novembre, toute la journée, la circulation des trains est interrompue. Des bus de remplacement sont mis en place.";"Meaux <> Château-Thierry";"Changis - Saint-Jean, Château-Thierry, Chézy-sur-Marne, La Ferté-sous-Jouarre, Meaux, Nanteuil - Saâcy, Nogent-L'Artaud - Charly, Trilport";"";""
"9fa3de8d-8d44-40af-99fb-ee0ea5280d37";"N/A";"25/09/2024 00:48:40";"25/09/2024 00:48:40";"15/11/2024 17:00:00";"25/11/2024 02:00:00";"";"";"WE47 LFM 23 et 24/11";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P Axe Meaux / La Ferté Milon. Le week-end du 23 et 24 novembre, toute la journée, la circulation des trains est interrompue. Des bus de remplacement sont mis en place.";"Meaux <> La Ferté-Milon";"Crouy-sur-Ourcq, Isles - Armentières - Congis, La Ferté-Milon, Lizy-sur-Ourcq, Mareuil-sur-Ourcq, Meaux, Trilport";"";""
"d5a7e3c4-ae14-4347-a092-5baafbbf1b6e";"N/A";"25/09/2024 00:55:54";"25/09/2024 00:55:54";"15/11/2024 17:00:00";"25/11/2024 02:00:00";"";"";"WE47 MEA 23 et 24/11";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P Axe Paris Est / Meaux. Le week-end du 23 et 24 novembre, toute la journée, la circulation des trains est interrompue dans les 2 sens. Des bus de remplacement sont mis en place.";"Paris Est <> Meaux";"Chelles - Gournay, Esbly, Lagny - Thorigny, Meaux, Paris Est, Vaires - Torcy";"";""
"c391f215-2ce6-43e0-ad69-88dcfc3745c9";"N/A";"27/09/2024 03:32:40";"23/11/2024 06:22:31";"23/11/2024 06:19:00";"24/11/2024 23:50:00";"";"";"WEEK D - PAA<>GDS interrompu";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"D";"N/A";"N/A";"N/A";"RER D - Week-end du 23 et 24 novembre, aucun RER D entre Paris Gare de Lyon et Paris Gare du Nord. La gare de Stade de France est non desservie.";"Goussainville <> Melun, Melun <> Villeneuve S Georges, Villeneuve S Georges <> Corbeil-Essonnes";"Villeneuve Triage, Villiers-le-Bel - Gonesse - Arnouville, Yerres, Boussy-Saint-Antoine, Brunoy, Cesson, Châtelet Les Halles, Combs-la-Ville - Quincy, Créteil Pompadour, Garges - Sarcelles, Goussainville, Le Mée, Lieusaint - Moissy, Maisons-Alfort - Alfortville, Melun, Montgeron - Crosne, Paris Gare de Lyon, Paris Gare du Nord, Pierrefitte - Stains, Savigny-le-Temple - Nandy, Saint-Denis, Stade de France Saint-Denis, Le Vert de Maisons, Villeneuve-Saint-Georges, Corbeil-Essonnes, Évry - Courcouronnes, Grigny Centre, Juvisy, Le Bras de Fer, Orangis Bois de l'Épine, Vigneux-sur-Seine, Viry-Châtillon";"";""
"189c54e0-68a9-4fc3-9231-0a6f0a323e63";"N/A";"27/09/2024 03:45:18";"24/11/2024 17:32:25";"01/10/2024 04:30:00";"25/11/2024 02:30:00";"";"";"RER D - allègement GOU/MEL";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"D";"N/A";"N/A";"N/A";"TRAVAUX RER D - Le week-end du 23 et 24 Novembre prévoir un allègement du plan de transport entre Paris Lyon et Melun (un train sur deux circulera).";"Goussainville <> Melun, Paris Gare de Lyon <> Paris Gare du Nord";"Stade de France Saint-Denis, Villeneuve-Saint-Georges, Villiers-le-Bel - Gonesse - Arnouville, Yerres, Boussy-Saint-Antoine, Brunoy, Cesson, Châtelet Les Halles, Combs-la-Ville - Quincy, Créteil Pompadour, Garges - Sarcelles, Goussainville, Le Mée, Lieusaint - Moissy, Maisons-Alfort - Alfortville, Melun, Montgeron - Crosne, Paris Gare de Lyon, Paris Gare du Nord, Pierrefitte - Stains, Savigny-le-Temple - Nandy, Saint-Denis";"";""
"bdfc791c-0f8d-47da-81b7-07592735a2f7";"N/A";"27/09/2024 17:34:44";"24/11/2024 21:14:22";"16/11/2024 03:50:00";"24/11/2024 21:14:22";"";"";"POLT Sud Nov 2024 / 1";"Travaux";"Non";"Gare";"";"Suspendue";"2";"Bas de page";"N/A";"C";"N/A";"N/A";"N/A";"TRAVAUX WEEK-END RER C. Du 23/11 au 24/11 et du 30/11 au 01/12 , aucun train ne circule entre Juvisy et Dourdan et Saint-Martin d'Etampes. Bus de remplacement, C2,C3,C4 et C5.";"Invalides > Juvisy, Brétigny > Dourdan La Forêt, Invalides > Saint-Martin d'Étampes";"Bibliothèque François Mitterrand, Invalides, Musée d'Orsay, Saint-Michel Notre-Dame, Paris Austerlitz, Juvisy, Brétigny, Sermaise, Saint-Chéron, La Norville - Saint-Germain-lès-Arpajon, Égly, Dourdan, Breuillet Village, Breuillet - Bruyères-le-Châtel, Arpajon, Savigny-sur-Orge, Saint-Michel-sur-Orge, Sainte-Geneviève-des-Bois, Épinay-sur-Orge, Saint-Martin d'Étampes, Marolles-en-Hurepoix, Lardy, Étréchy, Étampes, Chamarande, Bouray";"";""
"e9728988-f445-4e04-b96a-c79eef36bd60";"N/A";"27/09/2024 17:41:29";"27/09/2024 17:41:29";"25/11/2024 03:30:00";"01/12/2024 17:00:00";"";"";"POLT Sud Nov 2024 / 2";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"C";"N/A";"N/A";"N/A";"TRAVAUX WEEK-END RER C. Du 30/11 au 01/12, aucun train ne circule entre Juvisy et Dourdan et Saint-Martin d'Etampes. Bus de remplacement, C2,C3,C4 et C5.";"Brétigny > Dourdan La Forêt, Invalides <> Saint-Martin d'Étampes";"Saint-Chéron, Sermaise, La Norville - Saint-Germain-lès-Arpajon, Égly, Dourdan, Breuillet Village, Breuillet - Bruyères-le-Châtel, Brétigny, Arpajon, Musée d'Orsay, Juvisy, Invalides, Épinay-sur-Orge, Bibliothèque François Mitterrand, Chamarande, Marolles-en-Hurepoix, Saint-Martin d'Étampes, Bouray, Lardy, Étréchy, Étampes, Saint-Michel-sur-Orge, Sainte-Geneviève-des-Bois, Saint-Michel Notre-Dame, Savigny-sur-Orge, Paris Austerlitz";"";""
"68f6dcc0-6875-4b6c-9126-4fc3cfae5b4c";"N/A";"27/09/2024 23:49:37";"27/09/2024 23:49:37";"02/10/2024 11:00:00";"27/11/2024 13:10:00";"";"";"MEA 9/10, 5 et 27/11";"Travaux";"Non";"Bord | multicanal";"";"Echue";"2";"Texte";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P le 9/10, les 5 et 27/11, les trains de 11h20 au départ de Meaux et 12h31 au départ de Paris-Est sont supprimés. Motif : travaux de maintenance";"Paris Est <> Meaux";"";"";""
"68f6dcc0-6875-4b6c-9126-4fc3cfae5b4c";"N/A";"27/09/2024 23:49:37";"27/09/2024 23:49:37";"02/10/2024 11:00:00";"27/11/2024 13:10:00";"";"";"MEA 9/10, 5 et 27/11";"Travaux";"Non";"Gare | multicanal";"";"Echue";"2";"Bas de page";"N/A";"P";"N/A";"N/A";"N/A";"Ligne P le 9/10, les 5 et 27/11, les trains de 11h20 au départ de Meaux et 12h31 au départ de Paris-Est sont supprimés. Motif : travaux de maintenance";"Paris Est <> Meaux";"Chelles - Gournay, Esbly, Lagny - Thorigny, Meaux, Paris Est, Vaires - Torcy";"";""
"aa316c69-5e6c-487e-b846-30d277170d9a";"N/A";"28/09/2024 01:36:27";"26/10/2024 04:32:13";"26/10/2024 04:30:00";"27/10/2024 23:50:00";"";"";"RER D - PP GDS (RER B / RER A";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"D";"N/A";"N/A";"N/A";"WEEKEND TRAVAUX - RER D Sud à partir de Paris gare de Lyon. Merci d'emprunter le RER B et RER A pour rejoindre cette gare.";"";"Paris Gare du Nord";"";""
"aa316c69-5e6c-487e-b846-30d277170d9a";"N/A";"28/09/2024 01:36:27";"26/10/2024 04:32:13";"01/11/2024 04:30:00";"03/11/2024 23:50:00";"";"";"RER D - PP GDS (RER B / RER A";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"D";"N/A";"N/A";"N/A";"WEEKEND TRAVAUX - RER D Sud à partir de Paris gare de Lyon. Merci d'emprunter le RER B et RER A pour rejoindre cette gare.";"";"Paris Gare du Nord";"";""
"aa316c69-5e6c-487e-b846-30d277170d9a";"N/A";"28/09/2024 01:36:27";"26/10/2024 04:32:13";"23/11/2024 04:30:00";"24/11/2024 23:50:00";"";"";"RER D - PP GDS (RER B / RER A";"Travaux";"Non";"Gare";"";"Echue";"2";"Bas de page";"N/A";"D";"N/A";"N/A";"N/A";"WEEKEND TRAVAUX - RER D Sud à partir de Paris gare de Lyon. Merci d'emprunter le RER B et RER A pour rejoindre cette gare.";"";"Paris Gare du Nord";"";""
